segment,seed,n_off,n_on,threshold,n,pearson_r,pearson_p,spearman_rho,spearman_p,abs_resid_muhat_1_mean,abs_resid_muhat_1_median,variance_mean,variance_median
all_sampled,42,200,22500,0.15,22700,0.2529582650027419,0.0,0.2645876571495527,0.0,0.48759632128879504,0.2857508659362793,0.04323595152427078,0.02161249499785198
offline,42,200,22500,0.15,200,0.22013985321697196,0.0017347266884494273,0.24419953813810708,0.0004925708659284085,0.493911358114412,0.28652405738830566,0.043095219313363485,0.02161249499785198
online,42,200,22500,0.15,22500,0.2532502363629068,0.0,0.26480724598914224,0.0,0.4875401876281229,0.2857508659362793,0.04323720247725662,0.0216107189468807
online_selected_initial_threshold,42,200,22500,0.15,1373,0.05243414323118818,0.05208117137313798,0.14386542874707356,8.61215121378723e-08,0.9520833376797108,0.7887877047855625,0.2300684681125019,0.20049215709761684
